,1-month,3-month,6-month,1-year,2-year,3-year,5-year,7-year,10-year,20-year,30-year
01/12/2021,0.09,0.06,0.1,0.25,0.56,0.85,1.15,1.35,1.43,1.84,1.77
02/12/2021,0.05,0.05,0.09,0.27,0.63,0.9,1.21,1.38,1.44,1.87,1.76
03/12/2021,0.04,0.06,0.09,0.26,0.6,0.86,1.13,1.29,1.35,1.77,1.69
06/12/2021,0.05,0.05,0.12,0.28,0.65,0.91,1.21,1.38,1.43,1.84,1.75
07/12/2021,0.05,0.06,0.15,0.31,0.7,0.99,1.26,1.43,1.48,1.88,1.8
08/12/2021,0.04,0.07,0.13,0.29,0.68,0.99,1.27,1.44,1.52,1.93,1.87
09/12/2021,0.03,0.06,0.12,0.28,0.7,0.99,1.26,1.42,1.49,1.91,1.87
10/12/2021,0.03,0.06,0.13,0.27,0.67,0.98,1.25,1.42,1.48,1.91,1.88
13/12/2021,0.01,0.05,0.11,0.27,0.66,0.95,1.21,1.37,1.42,1.86,1.81
14/12/2021,0.02,0.05,0.13,0.26,0.67,0.98,1.23,1.39,1.44,1.87,1.82
15/12/2021,0.03,0.05,0.13,0.29,0.69,1,1.26,1.42,1.47,1.91,1.86
16/12/2021,0.04,0.05,0.13,0.26,0.64,0.92,1.19,1.36,1.44,1.91,1.87
17/12/2021,0.03,0.05,0.13,0.27,0.66,0.93,1.18,1.34,1.41,1.87,1.82
20/12/2021,0.03,0.07,0.16,0.27,0.65,0.91,1.17,1.34,1.43,1.9,1.85
21/12/2021,0.03,0.07,0.16,0.29,0.7,0.96,1.24,1.4,1.48,1.92,1.89
22/12/2021,0.03,0.08,0.16,0.28,0.68,0.96,1.23,1.39,1.46,1.89,1.86
23/12/2021,0.04,0.07,0.18,0.31,0.71,0.97,1.25,1.42,1.5,1.94,1.91
27/12/2021,0.04,0.06,0.21,0.33,0.76,0.98,1.26,1.41,1.48,1.92,1.88
28/12/2021,0.03,0.06,0.2,0.39,0.74,0.99,1.27,1.41,1.49,1.94,1.9
29/12/2021,0.01,0.05,0.19,0.38,0.75,0.99,1.29,1.47,1.55,2,1.96
30/12/2021,0.06,0.05,0.19,0.38,0.73,0.98,1.27,1.44,1.52,1.97,1.93
31/12/2021,0.06,0.06,0.19,0.39,0.73,0.97,1.26,1.44,1.52,1.94,1.9
03/01/2022,0.05,0.08,0.22,0.4,0.78,1.04,1.37,1.55,1.63,2.05,2.01
04/01/2022,0.06,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.1,2.07
05/01/2022,0.05,0.09,0.22,0.41,0.83,1.1,1.43,1.62,1.71,2.12,2.09
06/01/2022,0.04,0.1,0.23,0.45,0.88,1.15,1.47,1.66,1.73,2.12,2.09
07/01/2022,0.05,0.1,0.24,0.43,0.87,1.17,1.5,1.69,1.76,2.15,2.11
10/01/2022,0.05,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,2.15,2.11
